school_rank,school_name,school_id,school_state,professor_id,professor_legacy_id,professor_first,professor_last,department,avg_rating,avg_difficulty,would_take_again_percent,num_ratings,profile_url
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0xOTUwMTI1,1950125,Hilary,Parker,Student Services,2,4,0,1,https://www.ratemyprofessors.com/professor/1950125
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0yNDg4MzMx,2488331,Kaori,Shimizu,Foreign Languages & Literature,2.5,4,50,2,https://www.ratemyprofessors.com/professor/2488331
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0xMjE5MDQ0,1219044,Sylvia,Tag,Library Science,4.5,3.3,100,6,https://www.ratemyprofessors.com/professor/1219044
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0yMTkyNDc2,2192476,Kelly,Vogel,Environmental Studies,2.8,4.2,50,4,https://www.ratemyprofessors.com/professor/2192476
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0yNDk2ODQz,2496843,Errol,Seaton,Liberal Studies,1,4,0,1,https://www.ratemyprofessors.com/professor/2496843
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci02Mjc0NDI=,627442,Jim,Lortz,Theater,4,3.3,75,21,https://www.ratemyprofessors.com/professor/627442
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0yMjY0NzYz,2264763,Carter,Merklinghaus,Sociology,4.7,3.3,100,3,https://www.ratemyprofessors.com/professor/2264763
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0yNDk2MjE4,2496218,Darby,Roach,Design,2,3,0,1,https://www.ratemyprofessors.com/professor/2496218
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci03NjIwMjI=,762022,Nicole,Larson,Engineering Technology,4,2.4,100,15,https://www.ratemyprofessors.com/professor/762022
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci01MDExNjc=,501167,Katie,Stables,Mathematics,3.5,3.5,52.1739,126,https://www.ratemyprofessors.com/professor/501167
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0xOTkwNTUz,1990553,Diana,Gruman,Psychology,3.7,1.6,66.6667,5,https://www.ratemyprofessors.com/professor/1990553
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0yNDIyNTgy,2422582,Zachary,Dodge,Mathematics,4.3,2.8,85.7143,7,https://www.ratemyprofessors.com/professor/2422582
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0xODgyNjQ3,1882647,Tyler,Honeycutt,Mathematics,3.1,3.2,0,5,https://www.ratemyprofessors.com/professor/1882647
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0yNDA4ODA5,2408809,Daniel,Tarnu,Mathematics,2.3,4,25,4,https://www.ratemyprofessors.com/professor/2408809
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0yNDY0NzUw,2464750,Zachary,Smith,Music,5,1.2,100,5,https://www.ratemyprofessors.com/professor/2464750
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0yMzA0MTU5,2304159,Tanzima,Islam,Computer Science,4,4.2,75,4,https://www.ratemyprofessors.com/professor/2304159
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0yNDU1MTk1,2455195,Dean,Miller,Journalism,5,3.8,100,4,https://www.ratemyprofessors.com/professor/2455195
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0yNDcwNjUx,2470651,Nicole,McGowan,Geology,2,3,0,1,https://www.ratemyprofessors.com/professor/2470651
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0xMjU4MzYw,1258360,Margaret,Fox,English,3.5,2.8,100,18,https://www.ratemyprofessors.com/professor/1258360
12,Western Washington University,U2Nob29sLTExODQ=,WA,VGVhY2hlci0xOTM4NzYy,1938762,Effie,Eisses,Management,4.8,1.8,100,4,https://www.ratemyprofessors.com/professor/1938762
